event,feature,mean_abs_shap,mean_signed_shap,mean_feature_value
F02,Motor_current_last,0.0,0.0,5.556297953964194
F02,COMP_mean,0.0043363224512152024,-0.00415356306542234,0.010656436487638534
F02,COMP_last,0.0003400792166558815,-0.00031290179971176684,0.01278772378516624
F02,COMP_transition_sum,0.00028591837519264103,0.00028591837519264103,0.0025575447570332483
F02,DV_eletric_mean,0.0,0.0,0.9893435635123614
F02,DV_eletric_last,0.0,0.0,0.9872122762148338
F02,DV_eletric_transition_sum,0.0,0.0,0.0025575447570332483
F02,Towers_mean,0.033806039704932,0.03206344908500548,0.505541346973572
F02,Towers_last,8.900908730720286e-05,-3.434916026681222e-05,0.5038363171355499
F02,Towers_transition_sum,0.0002455558812846846,0.0002455558812846846,1.0025575447570332
F02,MPG_mean,0.0006855895863078616,-0.0006544304992428039,0.010656436487638534
F02,MPG_last,0.00012056028842569489,-0.00011141550275502997,0.01278772378516624
F02,MPG_transition_sum,1.5336702187422435e-05,-1.5051051784124805e-05,0.0025575447570332483
F02,LPS_mean,0.0,0.0,0.0
F02,LPS_last,0.0,0.0,0.0
F02,LPS_transition_sum,0.0,0.0,0.0
F02,Pressure_switch_mean,0.000665703901718398,-0.000665703901718398,0.9953111679454391
F02,Pressure_switch_last,5.02731660707339e-06,5.02731660707339e-06,0.9948849104859335
F02,Pressure_switch_transition_sum,0.00041623823854228476,0.00041623823854228476,0.056265984654731455
F02,Oil_level_mean,5.816919749828768e-05,5.816919749828768e-05,1.0
F02,Oil_level_last,3.5209124362142317e-05,3.5209124362142317e-05,1.0
F02,Oil_level_transition_sum,1.3943102668957605e-05,-1.3943102668957605e-05,0.0
F02,Caudal_impulses_mean,0.0015054540501088286,0.0015054540501088286,1.0
F02,Caudal_impulses_last,0.0010083836285997882,0.0010083836285997882,1.0
F02,Caudal_impulses_transition_sum,0.0,0.0,0.0
F02,COMP_MPG_mismatch_mean,0.0,0.0,0.0
F02,COMP_DV_equal_mean,0.004831393065166296,-0.004831393065166296,0.0
F02,TP3_Reservoir_abs_diff_mean,0.0,0.0,0.0021248325417123357
F02,TP3_Reservoir_abs_diff_max,0.0,0.0,0.003473145780051484
F02,TP3_minus_Reservoirs_mean,0.0,0.0,-0.0020878090366581534
F02,TP2_minus_TP3_mean,0.0,0.0,-0.2518493484350262
F02,H1_minus_TP3_mean,0.010541177816827237,0.010519235069969704,-8.309277310924369
F02,TP2_minus_H1_mean,0.010295319111156507,0.009838646082911911,8.057427962489344
F02,Motor_current_x_COMP0,0.05061310368149586,0.05061310368149586,5.520315887224456
F02,Motor_current_x_COMP1,0.2966900356616142,0.29581097708789444,0.04147591645353794
F02,TP2_x_COMP0,0.011639383782191726,-0.01161523031149359,8.149856716599682
F02,H1_x_COMP1,0.002408304632094516,0.0023953817728868455,0.10097271952259165
F03,TP2_mean,0.028449438981477306,0.0032183708591001403,7.9187958877758415
F03,TP2_std,0.0006900598428097528,-2.3172050739118776e-05,0.6448773865616122
F03,TP2_min,0.002303061682685676,0.0007895812576291058,6.642175304878048
F03,TP2_max,1.3025613844537354,-1.070484686230581,8.26846875
F03,TP2_last,0.30884013841663766,0.30884013841663766,7.922708079268293
F03,TP3_mean,0.07879286287523235,0.015596045146431986,8.049329553208478
F03,TP3_std,0.011306380919079014,-0.009642424951137638,0.01326123316539534
F03,TP3_min,0.29686025473416194,0.29686025473416194,8.031612042682926
F03,TP3_max,0.6546751307698949,0.011498046874886123,8.066407774390244
F03,TP3_last,0.19313132064344335,-0.19305748996168992,8.049282774390244
F03,H1_mean,0.04483806763644084,0.043480678571704685,-0.007071490272938017
F03,H1_std,0.41035867473644344,0.4103108214098038,0.000972177354493795
F03,H1_min,0.013549069253996373,0.01334823958382147,-0.008190548780486851
F03,H1_max,0.0005475857673570722,-0.0002008326102839599,-0.005961128048780554
F03,H1_last,0.003311703842044397,0.0028372966188234773,-0.00707850609756055
F03,DV_pressure_mean,3.1843648978105894,3.1843648978105894,2.0321141332752615
F03,DV_pressure_std,0.002440898968419543,-0.002440898968419543,0.21164881672472918
F03,DV_pressure_min,0.952888464600682,0.952888464600682,1.613564024390244
F03,DV_pressure_max,1.1464899660072965,-0.4010669992217927,2.1484001524390246
F03,DV_pressure_last,0.06597999531224816,0.06577010297872551,2.0334153963414634
F03,Reservoirs_mean,0.01602388880673544,-0.006481393050348535,8.05143519163763
F03,Reservoirs_std,0.05206749947331665,-0.04441556285421405,0.013236124440673245
F03,Reservoirs_min,0.09063056330058347,0.09063056330058347,8.033761432926829
F03,Reservoirs_max,0.07403388649401935,0.07224560401468821,8.068495426829267
F03,Reservoirs_last,0.026279081314939612,-0.019095136767010232,8.05139481707317
F03,Oil_temperature_mean,0.19634515791139737,0.19634515791139737,75.72031256805313
F03,Oil_temperature_std,0.0,0.0,0.11636473188998726
F03,Oil_temperature_min,0.8785191983037635,0.8785191983037635,75.57912538109755
F03,Oil_temperature_max,0.25250691054021057,0.25250691054021057,75.87901105182927
F03,Oil_temperature_last,0.06769470917601089,0.06769470917601089,75.71947408536585
F03,Motor_current_mean,0.04396738227400206,0.04396738227400206,5.495187976371951
F03,Motor_current_std,0.0013484885146422781,0.0010520046651962187,0.15124608877398696
F03,Motor_current_min,0.06303617694219296,0.051355371381575636,5.220982278963414
F03,Motor_current_max,0.03056313314163032,0.03056313314163032,5.636016577743903
F03,Motor_current_last,0.005335010086123435,0.0028655567382593282,5.4954249237804875
F03,COMP_mean,0.005390809630390351,-0.005390809630390351,0.0
F03,COMP_last,0.00013642929750548735,-0.00013642929750548735,0.0
F03,COMP_transition_sum,0.0003365043885300587,0.0003365043885300587,0.0
F03,DV_eletric_mean,0.0,0.0,1.0
F03,DV_eletric_last,0.0,0.0,1.0
F03,DV_eletric_transition_sum,0.0,0.0,0.0
F03,Towers_mean,0.00023682188606286928,0.00016566100227703102,0.5010026495354238
F03,Towers_last,6.79275461952025e-06,1.1507671751660164e-06,0.5034298780487805
F03,Towers_transition_sum,0.009839764871011911,0.009835887312079749,1.0148628048780488
F03,MPG_mean,0.00630664161660683,-0.00630664161660683,0.0
F03,MPG_last,0.0007517077752658587,-0.0007517077752658587,0.0
F03,MPG_transition_sum,1.414039099676901e-05,3.003549339499436e-07,0.0
F03,LPS_mean,0.0,0.0,0.0
F03,LPS_last,0.0,0.0,0.0
F03,LPS_transition_sum,0.0,0.0,0.0
F03,Pressure_switch_mean,3.88392652595422e-05,-3.88392652595422e-05,0.9957534843205575
F03,Pressure_switch_last,1.3266753221173934e-05,-5.553758616574362e-06,0.9973323170731707
F03,Pressure_switch_transition_sum,0.0016928335058050512,0.0016928335058050512,0.051067073170731704
F03,Oil_level_mean,6.721161265730934e-05,-6.721161265730934e-05,1.0
F03,Oil_level_last,3.181621413366084e-05,3.181621413366084e-05,1.0
F03,Oil_level_transition_sum,0.0,0.0,0.0
F03,Caudal_impulses_mean,0.00047267990266366484,0.00047267990266366484,1.0
F03,Caudal_impulses_last,5.782356036439936e-06,5.782356036439936e-06,1.0
F03,Caudal_impulses_transition_sum,0.0,0.0,0.0
F03,COMP_MPG_mismatch_mean,0.0,0.0,0.0
F03,COMP_DV_equal_mean,0.0002919775396000998,-0.0002919775396000998,0.0
F03,TP3_Reservoir_abs_diff_mean,0.0018893269526800516,-0.0005412639512197188,0.0021803335511033787
F03,TP3_Reservoir_abs_diff_max,0.002869029703456077,0.0006728228458995728,0.0035282012195126484
F03,TP3_minus_Reservoirs_mean,0.03127344231708989,-0.016366337483573398,-0.002105638429152152
F03,TP2_minus_TP3_mean,0.0005688972660145783,0.00023796569052118638,-0.13053366543263645
F03,H1_minus_TP3_mean,0.3157036481757295,-0.16018083998040059,-8.056401043481417
F03,TP2_minus_H1_mean,0.002696079192620932,0.0010888966989617982,7.92586737804878
F03,Motor_current_x_COMP0,0.010628282510411565,0.009549203649557123,5.495187976371951
F03,Motor_current_x_COMP1,0.5179817842062591,0.5179817842062591,0.0
F03,TP2_x_COMP0,0.02626215026562701,-0.013267230788973714,7.9187958877758415
F03,H1_x_COMP1,0.03305270081275747,0.03302239459158505,0.0
F04,TP2_mean,0.052020633480659266,0.024858831879514768,8.237965126571076
F04,TP2_std,0.005994681485110689,-0.005019040969357528,0.23426014545974416
F04,TP2_min,0.05401152013802484,0.05401152013802484,7.784594795539034
F04,TP2_max,0.12930807420283116,-0.02309110465631425,8.384245353159852
F04,TP2_last,0.061126408035963496,0.06057526589794418,8.263940520446097
F04,TP3_mean,0.076975044004883,0.07318828891696087,8.20983767038414
F04,TP3_std,0.05955910670582597,0.053320810652052256,0.05010701173672948
F04,TP3_min,0.1336304136361198,0.12303058540819262,8.146059479553903
F04,TP3_max,0.2187380688162823,0.1958084754678151,8.27546468401487
F04,TP3_last,0.012576366530221742,0.00462888551857889,8.211234200743494
F04,H1_mean,0.019844304522382877,-0.013411828251444342,0.27468720127456203
F04,H1_std,0.6273815487451511,0.6264746519509368,0.0030827832693920013
F04,H1_min,0.013310306636318789,0.013310306636318789,0.2707583643122673
F04,H1_max,0.00389709187960616,-0.0038930752911239216,0.27872118959107844
F04,H1_last,0.01159626975936794,-0.00904800639835688,0.27204460966542754
F04,DV_pressure_mean,0.48550096551989885,0.39827600376556394,-0.008760665604530498
F04,DV_pressure_std,0.0495483599883418,0.04716465540470984,0.00096105932399707
F04,DV_pressure_min,1.4493859139833107,1.4493859139833107,-0.009799256505574566
F04,DV_pressure_max,0.5301636415840213,-0.5301636415840213,-0.007643122676579183
F04,DV_pressure_last,0.28148633221275615,0.276459612254583,-0.008810408921931804
F04,Reservoirs_mean,0.07240723289577168,0.06992354650341111,8.207621879978758
F04,Reservoirs_std,0.09742775728006223,0.08488776168751896,0.05010552044371909
F04,Reservoirs_min,0.1021390932196732,0.1021390932196732,8.143910780669147
F04,Reservoirs_max,0.12342791796169551,0.09267156925380933,8.273278810408922
F04,Reservoirs_last,0.0078081196942105975,-0.0031838054025751304,8.209026022304833
