requested_offset_minutes,timestamp,actual_offset_minutes,score,feature,feature_value,shap_value
60,2020-07-15 15:30:00,60.0,0.001006061633893645,H1_std,0.0010327955589899357,0.40494641259812936
60,2020-07-15 15:30:00,60.0,0.001006061633893645,DV_pressure_max,-0.0079999999999991,-0.7109136211020884
60,2020-07-15 15:30:00,60.0,0.001006061633893645,DV_pressure_mean,-0.0079999999999991,-0.07518811334597218
60,2020-07-15 15:30:00,60.0,0.001006061633893645,Oil_temperature_mean,87.56666666666666,0.13352678080276958
60,2020-07-15 15:30:00,60.0,0.001006061633893645,DV_pressure_last,-0.0079999999999991,0.318526409361396
60,2020-07-15 15:30:00,60.0,0.001006061633893645,TP3_minus_Reservoirs_mean,0.0016666666666669272,-0.24015894565116158
60,2020-07-15 15:30:00,60.0,0.001006061633893645,Oil_temperature_max,87.65,0.2830889813612716
90,2020-07-15 16:00:00,90.0,0.0013445966238746193,DV_pressure_min,-0.009999999999998,1.1806442509326136
90,2020-07-15 16:00:00,90.0,0.0013445966238746193,Motor_current_x_COMP1,0.0,1.0756663736984193
90,2020-07-15 16:00:00,90.0,0.0013445966238746193,Oil_temperature_min,86.75,0.9169804010714862
90,2020-07-15 16:00:00,90.0,0.0013445966238746193,H1_std,0.0017888543819987585,0.36917644920541887
90,2020-07-15 16:00:00,90.0,0.0013445966238746193,DV_pressure_max,-0.0079999999999991,-0.8127316749050562
90,2020-07-15 16:00:00,90.0,0.0013445966238746193,DV_pressure_mean,-0.0093333333333317,-0.11152254078144426
90,2020-07-15 16:00:00,90.0,0.0013445966238746193,Oil_temperature_mean,86.98333333333335,0.08010780719090704
90,2020-07-15 16:00:00,90.0,0.0013445966238746193,DV_pressure_last,-0.009999999999998,0.3068392043237665
90,2020-07-15 16:00:00,90.0,0.0013445966238746193,TP3_minus_Reservoirs_mean,0.005666666666666487,-0.3141801749356176
90,2020-07-15 16:00:00,90.0,0.0013445966238746193,Oil_temperature_max,87.15,0.133993559029372
120,2020-07-15 16:30:00,120.0,0.015517355474497552,DV_pressure_min,-0.009999999999998,1.5432779821851597
120,2020-07-15 16:30:00,120.0,0.015517355474497552,Motor_current_x_COMP1,0.0,1.5006399931265506
120,2020-07-15 16:30:00,120.0,0.015517355474497552,Oil_temperature_min,83.94999999999999,0.9702009676921645
120,2020-07-15 16:30:00,120.0,0.015517355474497552,H1_std,0.0010954451150117016,0.3891462126811303
120,2020-07-15 16:30:00,120.0,0.015517355474497552,DV_pressure_max,-0.0079999999999991,-0.7727626756925301
120,2020-07-15 16:30:00,120.0,0.015517355474497552,DV_pressure_mean,-0.00833333333333225,-0.14103161960745114
120,2020-07-15 16:30:00,120.0,0.015517355474497552,Oil_temperature_mean,84.0,0.14418155995469947
120,2020-07-15 16:30:00,120.0,0.015517355474497552,DV_pressure_last,-0.0079999999999991,0.3168818713391356
120,2020-07-15 16:30:00,120.0,0.015517355474497552,TP3_minus_Reservoirs_mean,0.0016666666666669272,-0.32963244655631435
120,2020-07-15 16:30:00,120.0,0.015517355474497552,Oil_temperature_max,84.07500000000002,0.23344211177708452
140,2020-07-15 16:50:00,140.0,0.30564361998981976,DV_pressure_min,-0.009999999999998,1.7048400904978116
140,2020-07-15 16:50:00,140.0,0.30564361998981976,Motor_current_x_COMP1,0.0,1.916826246431686
140,2020-07-15 16:50:00,140.0,0.30564361998981976,Oil_temperature_min,84.775,1.600061067807537
140,2020-07-15 16:50:00,140.0,0.30564361998981976,H1_std,0.0010327955589899357,0.670425751383511
140,2020-07-15 16:50:00,140.0,0.30564361998981976,DV_pressure_max,-0.0079999999999991,-0.3278590143133887
140,2020-07-15 16:50:00,140.0,0.30564361998981976,DV_pressure_mean,-0.0086666666666654,0.13855987374626952
140,2020-07-15 16:50:00,140.0,0.30564361998981976,Oil_temperature_mean,84.84166666666665,0.1703230370173004
140,2020-07-15 16:50:00,140.0,0.30564361998981976,DV_pressure_last,-0.009999999999998,0.31432247571911154
140,2020-07-15 16:50:00,140.0,0.30564361998981976,TP3_minus_Reservoirs_mean,0.0006666666666665932,-0.26837345695260667
140,2020-07-15 16:50:00,140.0,0.30564361998981976,Oil_temperature_max,84.94999999999999,0.2283939925354856
148,2020-07-15 16:58:00,148.0,0.7610955349109467,DV_pressure_min,-0.009999999999998,2.006582717724634
148,2020-07-15 16:58:00,148.0,0.7610955349109467,Motor_current_x_COMP1,0.0,1.8503829843995871
148,2020-07-15 16:58:00,148.0,0.7610955349109467,Oil_temperature_min,84.75,1.8081804129003738
148,2020-07-15 16:58:00,148.0,0.7610955349109467,H1_std,0.0012649110640677629,0.9241848450105041
148,2020-07-15 16:58:00,148.0,0.7610955349109467,DV_pressure_max,-0.0079999999999991,-0.271868604807315
148,2020-07-15 16:58:00,148.0,0.7610955349109467,DV_pressure_mean,-0.00833333333333225,0.26914570553403727
148,2020-07-15 16:58:00,148.0,0.7610955349109467,Oil_temperature_mean,84.85416666666667,0.32587965103087874
148,2020-07-15 16:58:00,148.0,0.7610955349109467,DV_pressure_last,-0.009999999999998,0.28867547011721023
148,2020-07-15 16:58:00,148.0,0.7610955349109467,TP3_minus_Reservoirs_mean,0.0030000000000001137,-0.2391411770200133
148,2020-07-15 16:58:00,148.0,0.7610955349109467,Oil_temperature_max,84.975,0.36077485955672245
150,2020-07-15 17:00:00,150.0,0.7208465798643938,DV_pressure_min,-0.009999999999998,2.101063648984618
150,2020-07-15 17:00:00,150.0,0.7208465798643938,Motor_current_x_COMP1,0.0,1.7865855098139303
150,2020-07-15 17:00:00,150.0,0.7208465798643938,Oil_temperature_min,84.67499999999998,1.8786584573942948
150,2020-07-15 17:00:00,150.0,0.7208465798643938,H1_std,0.001032795558988025,0.8970981384268136
150,2020-07-15 17:00:00,150.0,0.7208465798643938,DV_pressure_max,-0.0079999999999991,-0.3301076753819073
150,2020-07-15 17:00:00,150.0,0.7208465798643938,DV_pressure_mean,-0.008999999999998549,0.2680605568406472
150,2020-07-15 17:00:00,150.0,0.7208465798643938,Oil_temperature_mean,85.19999999999999,0.33117467862019945
150,2020-07-15 17:00:00,150.0,0.7208465798643938,DV_pressure_last,-0.009999999999998,0.29183202152364507
150,2020-07-15 17:00:00,150.0,0.7208465798643938,TP3_minus_Reservoirs_mean,0.002000000000000668,-0.26948872973706484
150,2020-07-15 17:00:00,150.0,0.7208465798643938,Oil_temperature_max,85.625,0.2560155012415345
170,2020-07-15 17:20:00,170.0,0.5602292280113351,DV_pressure_min,-0.0079999999999991,1.5973876580136497
170,2020-07-15 17:20:00,170.0,0.5602292280113351,Motor_current_x_COMP1,0.0,1.8582960204661771
170,2020-07-15 17:20:00,170.0,0.5602292280113351,Oil_temperature_min,82.65,1.6926085512560707
170,2020-07-15 17:20:00,170.0,0.5602292280113351,H1_std,0.0008164965809272361,0.9514175666634739
170,2020-07-15 17:20:00,170.0,0.5602292280113351,DV_pressure_max,-0.0060000000000002,-0.3363333234576486
170,2020-07-15 17:20:00,170.0,0.5602292280113351,DV_pressure_mean,-0.00766666666666595,0.25109018749447276
170,2020-07-15 17:20:00,170.0,0.5602292280113351,Oil_temperature_mean,82.77083333333333,0.2152706899370503
170,2020-07-15 17:20:00,170.0,0.5602292280113351,DV_pressure_last,-0.0079999999999991,0.2831256592034591
170,2020-07-15 17:20:00,170.0,0.5602292280113351,TP3_minus_Reservoirs_mean,0.0029999999999992255,-0.20063531629033335
170,2020-07-15 17:20:00,170.0,0.5602292280113351,Oil_temperature_max,82.92500000000001,0.33382918213681373
