split,horizon_minutes,model,role,samples,mean,median,p50,p75,p90,p95,p99,max
fold_F03,15,Logistic Temporal,validation_negative,6340,4.535861965421182e-05,1.5192409205489365e-21,1.5192409205489365e-21,9.8190322366643e-19,1.4511621977458464e-15,8.685121310843115e-13,1.9668601407516714e-06,0.23178308148335014
fold_F03,15,Logistic Temporal,validation_ambiguous,345,7.187780324994538e-07,2.6931210074312946e-20,2.6931210074312946e-20,5.246810121714386e-18,3.407550549726553e-16,8.040929420157707e-13,8.076804069833233e-08,0.00020746612578672536
fold_F03,15,Logistic Temporal,validation_positive,15,0.11843703117348926,1.3778530406919144e-06,1.3778530406919144e-06,0.021226689147128053,0.4707882926653348,0.8028953111563061,0.9053736912251744,0.9309932862423915
fold_F03,15,Static Normal-Range,validation_negative,6340,0.01063542136097341,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855
fold_F03,15,Static Normal-Range,validation_ambiguous,345,0.005383022774327122,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857
fold_F03,15,Static Normal-Range,validation_positive,15,0.07619047619047617,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
fold_F03,30,Logistic Current,validation_negative,6340,0.3004790772237817,0.08102663315334854,0.08102663315334854,0.6531139647395464,0.8065964254155552,0.8727781539857675,0.9646829351772405,0.9988132509961705
fold_F03,30,Logistic Current,validation_ambiguous,330,0.3325721278076819,0.17975371949474434,0.17975371949474434,0.6785824692403741,0.8081742232220727,0.8676194421827439,0.9567995809237817,0.9842970462081597
fold_F03,30,Logistic Current,validation_positive,30,0.4001807800066048,0.2015016052843324,0.2015016052843324,0.9227830527456357,0.9975104705859663,0.9981694510889387,0.99913850485997,0.9994429896342679
fold_F03,30,Logistic Temporal,validation_negative,6340,0.0012539473593205866,4.7275231454423e-15,4.7275231454423e-15,7.250288644576565e-11,9.070825645267305e-08,2.343918562570354e-06,0.0009386522241326047,0.9954274247120898
fold_F03,30,Logistic Temporal,validation_ambiguous,330,5.3189043179342794e-05,2.2143950640627762e-13,2.2143950640627762e-13,2.1013658898532266e-09,3.08504992615791e-07,2.5618643491203097e-06,0.00010923707916325948,0.014094212493100085
fold_F03,30,Logistic Temporal,validation_positive,30,0.02005553068227881,5.7382756615241284e-18,5.7382756615241284e-18,8.544147555708981e-07,0.00023049192216938923,0.03882249558507666,0.3971301288424858,0.5306481469761344
fold_F03,30,Static Normal-Range,validation_negative,6340,0.01063542136097341,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855
fold_F03,30,Static Normal-Range,validation_ambiguous,330,0.005194805194805195,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857
fold_F03,30,Static Normal-Range,validation_positive,30,0.042857142857142844,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
fold_F03,60,Logistic Current,validation_negative,6340,0.45857619038487335,0.5071331371088122,0.5071331371088122,0.7295763726455764,0.8590170132091637,0.9119327603744889,0.9655089232771348,0.9999854232296759
fold_F03,60,Logistic Current,validation_ambiguous,300,0.49915115842766244,0.5513579302135079,0.5513579302135079,0.7448939019913376,0.8516187475111339,0.8981740446859672,0.9565316906726138,0.9887428908878797
fold_F03,60,Logistic Current,validation_positive,60,0.3764556794321161,0.35358522791773495,0.35358522791773495,0.6172802885821654,0.859943523189726,0.9595495082367961,0.9968065490576877,0.9999998237316083
fold_F03,60,Logistic Temporal,validation_negative,6340,0.12770886089570957,7.022031327298306e-05,7.022031327298306e-05,0.022990332966596846,0.697798212321945,0.9663028446666939,0.9999429585412912,0.9999999999898437
fold_F03,60,Logistic Temporal,validation_ambiguous,300,0.014658941591945135,3.1656433884131595e-06,3.1656433884131595e-06,0.00016052148685464417,0.009532702352602838,0.055255990329645566,0.3213816045231345,0.6216931549469004
fold_F03,60,Logistic Temporal,validation_positive,60,0.07391053173006236,1.6711223447700197e-09,1.6711223447700197e-09,2.4130767516069276e-05,0.17788024864758506,0.6465747960673043,0.9352376117781366,0.9356442072509897
fold_F03,60,Static Normal-Range,validation_negative,6340,0.01063542136097341,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855
fold_F03,60,Static Normal-Range,validation_ambiguous,300,0.004285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857
fold_F03,60,Static Normal-Range,validation_positive,60,0.028571428571428567,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.20142857142857093,0.2857142857142857
fold_F03,120,Logistic Current,validation_negative,6340,0.5435465245337349,0.5947678777101777,0.5947678777101777,0.7655898180106143,0.8795745968576459,0.9194967078328344,0.9706181784651247,0.9999948678246819
fold_F03,120,Logistic Current,validation_ambiguous,240,0.6130903762114728,0.6667680261568258,0.6667680261568258,0.8056018082297068,0.8730220506440713,0.909148950843854,0.9629547156855337,0.9804418088534016
fold_F03,120,Logistic Current,validation_positive,120,0.5212943520160808,0.541673927995182,0.541673927995182,0.7059962918248509,0.8452616065992898,0.9073351274570324,0.9878978704424033,0.9967732974567122
fold_F03,120,Logistic Temporal,validation_negative,6340,0.23184122843944005,0.0011728422373219701,0.0011728422373219701,0.32985765520114413,0.9900005945329744,0.9994090037632289,0.9999957237107114,0.9999999643152465
fold_F03,120,Logistic Temporal,validation_ambiguous,240,0.016016852411644474,9.376176859750235e-06,9.376176859750235e-06,0.00020175512089947145,0.004871677744246758,0.06187902150146449,0.3971652418052539,0.6603488113878206
fold_F03,120,Logistic Temporal,validation_positive,120,0.03339488004115608,1.9640506900066594e-06,1.9640506900066594e-06,6.395585461592144e-05,0.00705771968444194,0.204414531453151,0.7427917301313448,0.943291178785274
fold_F03,120,Static Normal-Range,validation_negative,6340,0.01063542136097341,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855
fold_F03,120,Static Normal-Range,validation_ambiguous,240,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857
fold_F03,120,Static Normal-Range,validation_positive,120,0.016666666666666666,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857
