split,validation_event,horizon_minutes,model,threshold_quantile,threshold_value,event_detected,warning_minutes,first_alert_timestamp,false_alarm_episodes,negative_days,false_alarm_episodes_per_day,earliest_warning_360m
fold_F03,F03,60,LightGBM Current,0.99,0.18419795842859196,1,22.0,2020-06-05 09:38:00,139,4.402777777777778,31.57097791798107,144.0
fold_F03,F03,60,LightGBM Current,0.995,0.6763951753395314,1,6.0,2020-06-05 09:54:00,43,4.402777777777778,9.766561514195583,6.0
fold_F03,F03,60,LightGBM Current,0.999,0.9910367115529147,0,,,0,4.402777777777778,0.0,
fold_F03,F03,60,LightGBM Current,0.9995,0.9910367115529147,0,,,0,4.402777777777778,0.0,
fold_F03,F03,60,LightGBM Temporal,0.99,0.00045030237779047157,1,7.0,2020-06-05 09:53:00,44,4.402777777777778,9.993690851735016,7.0
fold_F03,F03,60,LightGBM Temporal,0.995,0.0015131196829780403,1,7.0,2020-06-05 09:53:00,30,4.402777777777778,6.813880126182966,7.0
fold_F03,F03,60,LightGBM Temporal,0.999,0.011420828279934864,0,,,18,4.402777777777778,4.0883280757097795,
fold_F03,F03,60,LightGBM Temporal,0.9995,0.025031589052714704,0,,,16,4.402777777777778,3.634069400630915,
fold_F03,F03,60,Isolation Forest Temporal,0.99,0.06554800561404253,0,,,2,4.402777777777778,0.45425867507886436,
fold_F03,F03,60,Isolation Forest Temporal,0.995,0.08808565745971823,0,,,2,4.402777777777778,0.45425867507886436,
fold_F03,F03,60,Isolation Forest Temporal,0.999,0.14539198641100584,0,,,0,4.402777777777778,0.0,
fold_F03,F03,60,Isolation Forest Temporal,0.9995,0.17094542325034578,0,,,0,4.402777777777778,0.0,
fold_F03,F03,120,Random Forest Temporal,0.99,0.05913819913358538,1,94.0,2020-06-05 08:26:00,96,4.402777777777778,21.80441640378549,182.0
fold_F03,F03,120,Random Forest Temporal,0.995,0.10171004107351184,1,94.0,2020-06-05 08:26:00,48,4.402777777777778,10.902208201892744,181.0
fold_F03,F03,120,Random Forest Temporal,0.999,0.33436106780292185,0,,,4,4.402777777777778,0.9085173501577287,
